"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"496",16,"Michael Bandy",DEN,"WR197","308","308","308.0","0.0","-"
"497",16,"Maurice Alexander",CHI,"WR198","308","308","308.0","0.0","-"
"498",16,"Tai Felton",MIN,"WR199","308","383","345.5","37.5","-"
"499",16,"Mecole Hardman Jr.",BUF,"WR200","311","311","311.0","0.0","-"
"500",16,"Diontae Johnson",FA,"WR201","311","311","311.0","0.0","-"
"501",16,"Josh Whyle",GB,"TE89","311","311","311.0","0.0","-"
"502",16,"Will Kacmarek",MIA,"TE90","312","312","312.0","0.0","-"
"503",16,"Jack Endries",CIN,"TE91","313","313","313.0","0.0","-"
"504",16,"Desmond Reid",FA,"RB166","315","315","315.0","0.0","-"
"505",16,"Skyy Moore",GB,"WR202","328","340","334.0","6.0","-"
"506",16,"Lew Nichols III",PIT,"RB167","316","316","316.0","0.0","-"
"507",16,"Xavier Weaver",ARI,"WR203","317","317","317.0","0.0","-"
"508",16,"Evan Hull",ARI,"RB168","317","317","317.0","0.0","-"
"509",16,"Tyler Scott",LAR,"WR204","317","317","317.0","0.0","-"
"510",16,"Tanner Koziol",JAC,"TE92","317","317","317.0","0.0","-"
"511",16,"Michael Wortham",JAC,"WR205","319","319","319.0","0.0","-"
"512",16,"Will Mallory",IND,"TE93","320","320","320.0","0.0","-"
"513",16,"Velus Jones Jr.",SEA,"WR206","320","320","320.0","0.0","-"
"514",16,"Travis Homer",PIT,"RB169","322","322","322.0","0.0","-"
"515",16,"Zamir White",LV,"RB170","323","323","323.0","0.0","-"
"516",16,"Dean Connors",LAR,"RB171","323","323","323.0","0.0","-"
"517",16,"Jackson Hawes",BUF,"TE94","324","324","324.0","0.0","-"
"518",16,"Jordan Watkins",SF,"WR207","335","343","339.0","4.0","-"
"519",16,"Jordan Akins",FA,"TE95","327","327","327.0","0.0","-"
"520",16,"K.J. Osborn",TEN,"WR208","327","327","327.0","0.0","-"
"521",16,"Nate Adkins",DEN,"TE96","327","327","327.0","0.0","-"
"522",16,"Kaden Wetjen",PIT,"WR209","327","327","327.0","0.0","-"
"523",16,"Chip Trayanum",NYJ,"RB172","329","329","329.0","0.0","-"
"524",16,"Dominic Lovett",DET,"WR210","330","330","330.0","0.0","-"
"525",16,"Anthony Gould",IND,"WR211","331","331","331.0","0.0","-"
"526",16,"Michael Burton",CLE,"RB173","332","332","332.0","0.0","-"
"527",16,"DeAndre Hopkins",BAL,"WR212","332","378","355.0","23.0","-"
"528",16,"Jalen Reagor",MIA,"WR213","333","333","333.0","0.0","-"
"529",16,"Arian Smith",NYJ,"WR214","333","333","333.0","0.0","-"
"530",16,"Josh Cameron",JAC,"WR215","333","333","333.0","0.0","-"
"531",16,"Miles Kitselman",DET,"TE97","334","334","334.0","0.0","-"
"532",16,"Jermaine Burton",FA,"WR216","334","384","359.0","25.0","-"
"533",16,"Jermar Jefferson",FA,"RB174","339","339","339.0","0.0","-"
"534",16,"Tyler Badie",DEN,"RB175","340","340","340.0","0.0","-"
"535",16,"Jacob Cowing",SF,"WR217","341","377","359.0","18.0","-"
"536",16,"Justin Watson",HOU,"WR218","344","344","344.0","0.0","-"
"537",16,"Corey Kiner",ARI,"RB176","344","344","344.0","0.0","-"
"538",16,"Anthony Hankerson",MIA,"RB177","346","346","346.0","0.0","-"
"539",16,"Kendall Milton",CIN,"RB178","347","347","347.0","0.0","-"
"540",16,"Joshua Pitsenberger",HOU,"RB179","348","348","348.0","0.0","-"
"541",16,"Khalil Dinkins",FA,"TE98","350","350","350.0","0.0","-"
"542",16,"Gus Edwards",FA,"RB180","365","365","365.0","0.0","-"
"543",16,"Curtis Samuel",FA,"WR219","376","376","376.0","0.0","-"
"544",16,"Gabe Davis",FA,"WR220","380","380","380.0","0.0","-"
"545",16,"Juice Wells Jr.",ATL,"WR221","385","385","385.0","0.0","-"
"546",16,"Trey Sermon",FA,"RB181","387","387","387.0","0.0","-"
"547",16,"Ja'Quinden Jackson",FA,"RB182","388","388","388.0","0.0","-"
